Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202006,09,001000,013,    ,00000 ,01080 ,3303 ,278,25540, , ,06232      ,1,1,6,Andover town,1,1,250000,0,0,0,0,0,0,0,0,0,1,1,250000,0,0,0,0,0,0,0,0,0
202006,09,013000,003,    ,00000 ,02060 ,18098 ,278,25540, , ,06001      ,1,1,4,Avon town,3,3,977636,0,0,0,0,0,0,0,0,0,1,1,400000,0,0,0,0,0,0,0,0,0
202006,09,029000,003,    ,00000 ,04300 ,19866 ,278,25540, , ,06037      ,1,1,4,Berlin town,8,8,2063366,0,0,0,0,0,0,1,6,1034100,5,5,1419272,0,0,0,0,0,0,1,6,1034100
202006,09,037000,001,    ,00000 ,04720 ,18584 ,408,14860, , ,06801      ,1,1,5,Bethel town,50,50,14070518,2,4,596544,0,0,0,0,0,0,42,42,11342719,2,4,596544,0,0,0,0,0,0
202006,09,045000,003,    ,00000 ,05910 ,20486 ,278,25540, , ,060022460  ,1,1,6,Bloomfield town,9,9,1125000,0,0,0,0,0,0,0,0,0,9,9,1125000,0,0,0,0,0,0,0,0,0
202006,09,049000,013,    ,00000 ,06260 ,4980 ,278,25540, , ,06043      ,1,1,6,Bolton town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202006,09,057000,009,    ,00000 ,07310 ,28026 ,408,35300, , ,06405      ,1,1,6,Branford town,7,7,1887055,2,4,517200,0,0,0,0,0,0,7,7,1887055,2,4,517200,0,0,0,0,0,0
202006,09,061000,001,0070,08000 ,08070 ,144229 ,408,14860,2,1,06604      ,1,1,3,Bridgeport,7,7,954923,7,14,1124686,0,0,0,1,24,500000,2,2,255000,4,8,670000,0,0,0,1,24,500000
202006,09,065000,005,    ,00000 ,08210 ,1727 ,999,99999, , ,06752      ,1,1,5,Bridgewater town,1,1,270000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202006,09,069000,003,0080,08420 ,08490 ,60477 ,278,25540,2, ,06010      ,1,1,6,Bristol,24,24,4335400,1,2,150000,0,0,0,0,0,0,24,24,4335400,1,2,150000,0,0,0,0,0,0
202006,09,077000,001,    ,00000 ,08980 ,16452 ,408,14860, , ,06804      ,1,1,6,Brookfield town,1,1,400000,0,0,0,0,0,0,0,0,0,1,1,400000,0,0,0,0,0,0,0,0,0
202006,09,081000,015,    ,00000 ,09190 ,8210 ,148,49340, , ,06234      ,1,1,6,Brooklyn town,10,10,1969000,1,2,180000,0,0,0,0,0,0,10,10,1969000,1,2,180000,0,0,0,0,0,0
