Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201808,09,001000,013,    ,00000 ,01080 ,3303 ,278,25540, , ,06232      ,1,1,8,Andover town,3,3,704000,0,0,0,0,0,0,0,0,0,3,3,704000,0,0,0,0,0,0,0,0,0
201808,09,013000,003,    ,00000 ,02060 ,18098 ,278,25540, , ,06001      ,1,1,8,Avon town,8,8,1947230,0,0,0,0,0,0,0,0,0,8,8,1947230,0,0,0,0,0,0,0,0,0
201808,09,029000,003,    ,00000 ,04300 ,19866 ,278,25540, , ,06037      ,1,1,6,Berlin town,9,9,1918258,0,0,0,0,0,0,0,0,0,7,7,1531450,0,0,0,0,0,0,0,0,0
201808,09,037000,001,    ,00000 ,04720 ,18584 ,408,14860, , ,06801      ,1,1,8,Bethel town,30,30,10418918,0,0,0,0,0,0,0,0,0,30,30,10418918,0,0,0,0,0,0,0,0,0
201808,09,045000,003,    ,00000 ,05910 ,20486 ,278,25540, , ,060022460  ,1,1,8,Bloomfield town,4,4,773274,0,0,0,0,0,0,0,0,0,4,4,773274,0,0,0,0,0,0,0,0,0
201808,09,049000,013,    ,00000 ,06260 ,4980 ,278,25540, , ,06043      ,1,1,8,Bolton town,6,6,1211000,0,0,0,0,0,0,0,0,0,6,6,1211000,0,0,0,0,0,0,0,0,0
201808,09,057000,009,    ,00000 ,07310 ,28026 ,408,35300, , ,06405      ,1,1,8,Branford town,9,9,2531417,0,0,0,0,0,0,0,0,0,9,9,2531417,0,0,0,0,0,0,0,0,0
201808,09,061000,001,0070,08000 ,08070 ,144229 ,408,14860,2,1,06604      ,1,1,5,Bridgeport,16,16,1937769,2,4,300000,1,3,105000,0,0,0,12,12,1475000,2,4,300000,1,3,105000,0,0,0
201808,09,065000,005,    ,00000 ,08210 ,1727 ,999,99999, , ,06752      ,1,1,7,Bridgewater town,1,1,1985000,0,0,0,0,0,0,0,0,0,1,1,1985000,0,0,0,0,0,0,0,0,0
201808,09,069000,003,0080,08420 ,08490 ,60477 ,278,25540,2, ,06010      ,1,1,8,Bristol,25,25,4276000,0,0,0,0,0,0,0,0,0,25,25,4276000,0,0,0,0,0,0,0,0,0
201808,09,077000,001,    ,00000 ,08980 ,16452 ,408,14860, , ,06804      ,1,1,8,Brookfield town,7,7,2623000,0,0,0,0,0,0,0,0,0,7,7,2623000,0,0,0,0,0,0,0,0,0
201808,09,081000,015,    ,00000 ,09190 ,8210 ,148,49340, , ,06234      ,1,1,8,Brooklyn town,9,9,1845000,0,0,0,0,0,0,0,0,0,9,9,1845000,0,0,0,0,0,0,0,0,0
201808,09,085000,003,    ,00000 ,10100 ,9301 ,278,25540, , ,06013      ,1,1,8,Burlington town,10,10,3410390,0,0,0,0,0,0,0,0,0,10,10,3410390,0,0,0,0,0,0,0,0,0
