Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202011,09,001000,013,    ,00000 ,01080 ,3303 ,278,25540, , ,06232      ,1,1,11,Andover town,3,3,700000,0,0,0,0,0,0,0,0,0,3,3,700000,0,0,0,0,0,0,0,0,0
202011,09,013000,003,    ,00000 ,02060 ,18098 ,278,25540, , ,06001      ,1,1,4,Avon town,8,8,2421726,0,0,0,0,0,0,0,0,0,1,1,400000,0,0,0,0,0,0,0,0,0
202011,09,029000,003,    ,00000 ,04300 ,19866 ,278,25540, , ,06037      ,1,1,4,Berlin town,18,18,4210346,0,0,0,0,0,0,1,6,1034100,5,5,1419272,0,0,0,0,0,0,1,6,1034100
202011,09,037000,001,    ,00000 ,04720 ,18584 ,408,14860, , ,06801      ,1,1,11,Bethel town,77,77,20755642,2,4,596544,0,0,0,0,0,0,77,77,20755642,2,4,596544,0,0,0,0,0,0
202011,09,045000,003,    ,00000 ,05910 ,20486 ,278,25540, , ,060022460  ,1,1,7,Bloomfield town,14,14,1860939,4,8,800000,0,0,0,0,0,0,9,9,1125000,0,0,0,0,0,0,0,0,0
202011,09,049000,013,    ,00000 ,06260 ,4980 ,278,25540, , ,06043      ,1,1,11,Bolton town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202011,09,057000,009,    ,00000 ,07310 ,28026 ,408,35300, , ,06405      ,1,1,11,Branford town,24,24,6929350,3,6,798800,0,0,0,0,0,0,24,24,6929350,3,6,798800,0,0,0,0,0,0
202011,09,061000,001,0070,08000 ,08070 ,144229 ,408,14860,2,1,06604      ,1,1,3,Bridgeport,22,22,3054693,11,22,1730934,0,0,0,1,24,500000,2,2,255000,4,8,670000,0,0,0,1,24,500000
202011,09,065000,005,    ,00000 ,08210 ,1727 ,999,99999, , ,06752      ,1,1,10,Bridgewater town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202011,09,069000,003,0080,08420 ,08490 ,60477 ,278,25540,2, ,06010      ,1,1,11,Bristol,49,49,9623400,1,2,150000,0,0,0,2,32,2501056,49,49,9623400,1,2,150000,0,0,0,2,32,2501056
202011,09,077000,001,    ,00000 ,08980 ,16452 ,408,14860, , ,06804      ,1,1,11,Brookfield town,8,8,2300000,0,0,0,0,0,0,0,0,0,8,8,2300000,0,0,0,0,0,0,0,0,0
202011,09,081000,015,    ,00000 ,09190 ,8210 ,148,49340, , ,06234      ,1,1,11,Brooklyn town,21,21,3809000,1,2,180000,0,0,0,0,0,0,21,21,3809000,1,2,180000,0,0,0,0,0,0
