Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201912,09,001000,013,    ,00000 ,01080 ,3303 ,278,25540, , ,06232      ,1,1,12,Andover town,7,7,1673875,0,0,0,0,0,0,0,0,0,7,7,1673875,0,0,0,0,0,0,0,0,0
201912,09,013000,003,    ,00000 ,02060 ,18098 ,278,25540, , ,06001      ,1,1,2,Avon town,13,13,3754638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,09,029000,003,    ,00000 ,04300 ,19866 ,278,25540, , ,06037      ,1,1,12,Berlin town,17,17,3649866,1,2,391000,0,0,0,1,6,1034100,17,17,3649866,1,2,391000,0,0,0,1,6,1034100
201912,09,037000,001,    ,00000 ,04720 ,18584 ,408,14860, , ,06801      ,1,1,10,Bethel town,64,64,21889720,3,6,1259200,0,0,0,0,0,0,57,57,19746380,3,6,1259200,0,0,0,0,0,0
201912,09,045000,003,    ,00000 ,05910 ,20486 ,278,25540, , ,060022460  ,1,1,12,Bloomfield town,16,16,2355000,8,16,1600000,0,0,0,0,0,0,16,16,2355000,8,16,1600000,0,0,0,0,0,0
201912,09,049000,013,    ,00000 ,06260 ,4980 ,278,25540, , ,06043      ,1,1,12,Bolton town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,09,057000,009,    ,00000 ,07310 ,28026 ,408,35300, , ,06405      ,1,1,12,Branford town,24,24,6854410,0,0,0,0,0,0,0,0,0,24,24,6854410,0,0,0,0,0,0,0,0,0
201912,09,061000,001,0070,08000 ,08070 ,144229 ,408,14860,2,1,06604      ,1,1,7,Bridgeport,26,26,3639600,8,16,1212500,1,3,242352,0,0,0,16,16,2446000,7,14,1075000,1,3,242352,0,0,0
201912,09,065000,005,    ,00000 ,08210 ,1727 ,999,99999, , ,06752      ,1,1,12,Bridgewater town,3,3,810000,0,0,0,0,0,0,0,0,0,3,3,810000,0,0,0,0,0,0,0,0,0
201912,09,069000,003,0080,08420 ,08490 ,60477 ,278,25540,2, ,06010      ,1,1,12,Bristol,39,39,6751574,0,0,0,0,0,0,0,0,0,39,39,6751574,0,0,0,0,0,0,0,0,0
201912,09,077000,001,    ,00000 ,08980 ,16452 ,408,14860, , ,06804      ,1,1,12,Brookfield town,16,16,5022000,0,0,0,0,0,0,0,0,0,16,16,5022000,0,0,0,0,0,0,0,0,0
201912,09,081000,015,    ,00000 ,09190 ,8210 ,148,49340, , ,06234      ,1,1,12,Brooklyn town,16,16,2774000,0,0,0,0,0,0,0,0,0,16,16,2774000,0,0,0,0,0,0,0,0,0
