Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Source,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202104,09,001000,013,    ,00000 ,01080 ,3303 ,278,25540, , ,06232      ,1,1,5,Andover town,0,0,0,0,0,0,0,0,0,0,0,0
202104,09,013000,003,    ,00000 ,02060 ,18098 ,278,25540, , ,06001      ,1,1,5,Avon town,1,1,301172,0,0,0,0,0,0,0,0,0
202104,09,029000,003,    ,00000 ,04300 ,19866 ,278,25540, , ,06037      ,1,1,3,Berlin town,7,7,1067297,0,0,0,0,0,0,0,0,0
202104,09,037000,001,    ,00000 ,04720 ,18584 ,408,14860, , ,06801      ,1,1,5,Bethel town,10,10,2723676,0,0,0,0,0,0,0,0,0
202104,09,045000,003,    ,00000 ,05910 ,20486 ,278,25540, , ,060022460  ,1,1,5,Bloomfield town,2,2,267750,0,0,0,0,0,0,0,0,0
202104,09,049000,013,    ,00000 ,06260 ,4980 ,278,25540, , ,06043      ,1,1,3,Bolton town,1,1,180000,0,0,0,0,0,0,0,0,0
202104,09,057000,009,    ,00000 ,07310 ,28026 ,408,35300, , ,06405      ,1,1,3,Branford town,5,5,1078694,0,0,0,0,0,0,0,0,0
202104,09,061000,001,0070,08000 ,08070 ,144229 ,408,14860,2,1,06604      ,1,1,5,Bridgeport,2,2,277972,1,2,157358,0,0,0,0,0,0
202104,09,065000,005,    ,00000 ,08210 ,1727 ,999,99999, , ,06752      ,1,1,5,Bridgewater town,0,0,0,0,0,0,0,0,0,0,0,0
202104,09,069000,003,0080,08420 ,08490 ,60477 ,278,25540,2, ,06010      ,1,1,3,Bristol,10,10,1854000,0,0,0,0,0,0,0,0,0
202104,09,077000,001,    ,00000 ,08980 ,16452 ,408,14860, , ,06804      ,1,1,3,Brookfield town,1,1,370000,0,0,0,0,0,0,0,0,0
202104,09,081000,015,    ,00000 ,09190 ,8210 ,148,49340, , ,06234      ,1,1,3,Brooklyn town,1,1,159000,0,0,0,0,0,0,0,0,0
202104,09,085000,003,    ,00000 ,10100 ,9301 ,278,25540, , ,06013      ,1,1,3,Burlington town,4,4,1334740,0,0,0,0,0,0,0,0,0
202104,09,097000,003,    ,00000 ,12270 ,10292 ,278,25540, , ,06022      ,1,1,3,Canton town,0,0,0,0,0,0,0,0,0,0,0,0
